Path_1,Path_2,Path_3,Path_4,Path_5
99727.15923264356,136086.3597238352,148056.08730564802,113318.7681207468,125014.43381385696
99530.8460559061,136070.61747219332,148247.09780059004,111961.51998932006,124841.5044019199
99746.34270071423,136868.89892598038,147352.0476252755,112802.680938014,126261.31994431435
100081.48441712132,137682.99037611583,148670.3667377727,113505.83314019613,127536.78355601826
99749.2993771381,138669.64672047214,145455.73166951997,114991.99375095048,126570.95682611142
98036.881426861,137830.8890701058,146018.18098183032,116061.47046773294,125931.06698698804
98397.652722886,138355.2535157662,148441.2580142219,117616.66904803197,124736.3756654547
100136.68384901647,137198.52132465344,150638.10422779812,117533.84115437364,123967.48453208242
98640.78057683312,136403.2597229961,151285.556923461,116566.9251287603,122282.6826887765
99532.32358461709,135206.0360708965,150889.6717039298,119073.09701667412,122162.63059824231
99245.14772591517,133653.34502191417,149990.6671823515,117302.842504061,122984.95417302933
99223.98434739576,135129.15793982227,149596.3030298779,115676.42325085145,122068.65124991872
98218.94608767985,136113.72479600605,150469.65708958358,116376.41372420003,122006.8768432265
97929.73433850179,137497.5458997944,149315.18796646773,118314.06477607711,121786.65637332373
99242.03645010795,137606.59941915568,150505.86283927906,118585.65571260602,123120.36485985515
99859.97219231988,138730.58071735784,153776.5968277825,119818.12081974323,122416.6189048724
101629.80206864349,136342.62593047088,153742.94553352776,117474.71474474504,121761.42544205197
102867.05536177168,137573.91916702423,151737.53054157374,116934.86561129891,120780.0026268791
103359.87772101702,137872.61942645095,149757.7430836423,114790.34120763458,119454.43059969804
105203.75026588704,138792.38090662193,150980.61322468406,115732.09374589009,120134.34729028998
105707.66903239676,139375.34124373406,150950.80032260114,113987.74337403468,120020.08655591577
106625.19910156574,138055.3798903319,152334.76389781467,112576.78160438356,120133.87743173924
106351.62981152258,136042.47753946364,151582.78732983905,113200.48534940618,121713.20682699022
106464.94302318484,135128.19840138115,152902.50277034988,114447.75586358822,123383.21027877208
105765.01712428736,135945.61222538387,152721.6203733886,114311.59953352652,121401.38682516648
106853.95674902052,136938.13946954903,151664.01695894645,115009.09748288672,122236.42765736884
105637.63428790483,135119.68002167274,151116.51216483407,115673.60643897038,122561.1449695398
106506.34573519333,133848.0695676637,149368.01197906717,115470.68386399065,122044.43821389801
106345.89279903317,132933.57179143452,152399.2260076277,114252.80823015087,122493.17570413543
107634.00433458333,132511.76684134686,152313.30056015548,114943.91364925944,120427.47132477134
108485.24829619522,130759.8939268433,153355.90656142661,115694.60739611097,122237.06550123225
110503.77490023198,128952.72450342441,152593.9283982887,116775.22326225009,122915.41288066527
111355.51002991578,127944.52658757745,151049.78798217446,117186.34961499965,121901.11766552228
109649.49878936946,128106.06146063417,150756.93188149418,115863.9017609848,121236.25650926228
109619.94477037876,126644.89097473306,152477.35873167735,116710.1023680746,119219.91998204285
108379.0391110596,126548.8897021743,151744.3515935698,116755.17454887355,118893.30836800305
107860.68401364115,127939.09609379375,150484.06623677423,116238.2556729606,118366.92967305864
109533.84961238752,126324.78650305225,150778.2087797399,115942.27141748839,116845.7839649107
110275.97847788928,126114.52425409674,151590.9374020201,115188.3484748073,117800.06609254783
109549.33650028553,127457.33714332999,154141.98271623737,116258.2682835807,119351.25405231275
108482.63558596202,126975.20632571733,154748.91751055536,114656.09595935968,119366.33946595072
108561.59151854883,126297.57813465204,155807.3887764339,113562.86621098903,119049.2465059916
107284.29909520767,127817.56420107302,156990.39569670553,113234.92744631569,119614.712095849
106607.1846722952,127477.31118787898,155243.06844444427,115107.55101946196,119639.06689224028
106982.4520596958,128936.28267269008,153809.65940631574,116367.15056080505,118392.21340259642
108261.22618568742,129540.94921503094,152204.04607871812,114504.29773305156,117666.85037324531
108963.58331053793,129148.64137700458,150237.34795732104,116097.44994605685,117365.11020088199
106510.49759127524,129819.81463663623,151492.5207165739,117710.53138700989,117703.34071507372
106877.28430790418,130287.74952736982,151992.52192006266,116375.6841604757,117761.41168021348
106997.02274848826,131669.9498799764,152174.14699995055,113487.87012091237,118056.25019650132
107482.67184038165,131000.61156505243,148289.5724173103,113451.30248799208,116303.31795756798
109262.81025749944,131106.99200916427,151396.9460910595,114770.08812078106,117123.50959276425
